Sl No,Tran Id,Value Date,Transaction Date,Transaction Posted,Cheque no /,Ref No,Transaction Remarks,Withdrawal (Dr),Deposit(Cr),Balance,Balance Mismatch,Type Corrected
,,01/03/2025,01/03/2025,,,,,,,338828.04,false,false
,,01/03/2025,01/03/2025,,,,,,,338028.04,false,false
,,02/03/2025,02/03/2025,,,,,,,337936.04,false,false
,,02/03/2025,02/03/2025,,,,,,,337895.04,false,false
,,03/03/2025,03/03/2025,,,,,,,335895.04,false,false
,,05/03/2025,05/03/2025,,,,,,,333895.04,false,false
,,05/03/2025,05/03/2025,,,,,,,333335.04,false,false
,,05/03/2025,05/03/2025,,,,,,,332070.16,false,false
,,06/03/2025,06/03/2025,,,,,,,327740.16,false,false
,,06/03/2025,06/03/2025,,,,,,,325740.16,false,false
,,09/03/2025,09/03/2025,,,,,,,324740.16,false,false
,,14/03/2025,14/03/2025,,,,,,,322740.16,false,false
,,17/03/2025,17/03/2025,,,,,,,322625.16,false,false
,,17/03/2025,17/03/2025,,,,,,,320625.16,false,false
,,18/03/2025,18/03/2025,,,,,,,315625.16,false,false
,,18/03/2025,18/03/2025,,,,,,,318862.16,false,false
,,21/03/2025,21/03/2025,,,,,,,315576.16,false,false
,,21/03/2025,21/03/2025,,,,,,,315044.85,false,false
,,21/03/2025,21/03/2025,,,,,,,314994.85,false,false
,,22/03/2025,22/03/2025,,,,,,,239950.85,false,true
,,23/03/2025,23/03/2025,,,,,,,239930.85,false,false
,,23/03/2025,23/03/2025,,,,,,,239902.85,false,false
,,25/03/2025,25/03/2025,,,,,,,237902.85,false,false
,,27/03/2025,27/03/2025,,,,,,,234702.85,false,false
,,31/03/2025,01/04/2025,,,,,,,238652.85,false,false
